element_group	superfamily	lineage	structural_status	element_length_bp	ltr_length_bp	ltr1_length_bp	ltr2_length_bp
LTR_retrotransposon	Copia	Ale	complete	4933	318		
LTR_retrotransposon	Copia	Ale	complete	4933	168		
LTR_retrotransposon	Copia	Ale	complete	4933	285		
LTR_retrotransposon	Copia	Ale	complete	4934	325		
LTR_retrotransposon	Copia	Ale	complete	4935	301		
LTR_retrotransposon	Copia	Ale	complete	4935	144		
LTR_retrotransposon	Copia	Ale	complete	4935	345		
LTR_retrotransposon	Copia	Ale	complete	4937	300		
LTR_retrotransposon	Copia	Ale	complete	4937	409		
LTR_retrotransposon	Copia	Ale	complete	4937	166		
LTR_retrotransposon	Copia	Ale	complete	4938	247		
LTR_retrotransposon	Copia	Ale	complete	4942	203		
LTR_retrotransposon	Copia	Ale	complete	4943	181		
LTR_retrotransposon	Copia	Ale	complete	4943	171		
LTR_retrotransposon	Copia	Ale	complete	4944	290		
LTR_retrotransposon	Copia	Ale	complete	4944	320		
LTR_retrotransposon	Copia	Ale	complete	4945	309		
LTR_retrotransposon	Copia	Ale	complete	4945	173		
LTR_retrotransposon	Copia	Ale	complete	4946	163		
LTR_retrotransposon	Copia	Ale	complete	4946	342		
LTR_retrotransposon	Copia	Ale	complete	4946	179		
LTR_retrotransposon	Copia	Ale	complete	4947	156		
LTR_retrotransposon	Copia	Ale	complete	4947	260		
LTR_retrotransposon	Copia	Ale	complete	4948	316		
LTR_retrotransposon	Copia	Ale	complete	4948	205		
LTR_retrotransposon	Copia	Ale	complete	4949	333		
LTR_retrotransposon	Copia	Ale	complete	4950	285		
LTR_retrotransposon	Copia	Ale	complete	4950	241		
LTR_retrotransposon	Copia	Ale	complete	4951	166		
LTR_retrotransposon	Copia	Ale	complete	4951	318		
LTR_retrotransposon	Copia	Ale	complete	4951	332		
LTR_retrotransposon	Copia	Ale	complete	4952	284		
LTR_retrotransposon	Copia	Ale	complete	4952	279		
LTR_retrotransposon	Copia	Ale	complete	4953	334		
LTR_retrotransposon	Copia	Ale	complete	4953	144		
LTR_retrotransposon	Copia	Ale	complete	4954	296		
LTR_retrotransposon	Copia	Ale	complete	4954	154		
LTR_retrotransposon	Copia	Ale	complete	4955	179		
LTR_retrotransposon	Copia	Ale	complete	4956	148		
LTR_retrotransposon	Copia	Ale	complete	4956	152		
LTR_retrotransposon	Copia	Ale	complete	4956	267		
LTR_retrotransposon	Copia	Ale	complete	4956	431		
LTR_retrotransposon	Copia	Ale	complete	4956	258		
LTR_retrotransposon	Copia	Ale	complete	4957	255		
LTR_retrotransposon	Copia	Ale	complete	4958	164		
LTR_retrotransposon	Copia	Ale	complete	4958	248		
LTR_retrotransposon	Copia	Ale	complete	4959	324		
LTR_retrotransposon	Copia	Ale	complete	4961	306		
LTR_retrotransposon	Copia	Ale	complete	4961	148		
